class,precision_macro,precision_micro,precision_weighted,recall_macro,recall_micro,recall_weighted,f1_macro,f1_micro,f1_weighted,matthews,roc_auc
8,0.8582621082621082,0.8544303797468354,0.8558098020123337,0.8361737677527151,0.8544303797468354,0.8544303797468354,0.8439204569857837,0.8544303797468354,0.8521233235309948,0.6940844985374737,0.8361737677527151
180,0.8196943972835313,0.8089171974522293,0.8180614882181826,0.8058804418453541,0.8089171974522293,0.8089171974522293,0.8060770750988142,0.8089171974522293,0.806824475718134,0.625422300518844,0.8058804418453541
101,0.8428597854236034,0.8152866242038217,0.8363424927716551,0.802859477124183,0.8152866242038217,0.8152866242038217,0.8061975907717192,0.8152866242038217,0.8096728094369348,0.6444791240693591,0.8028594771241829
403,0.8049073438572409,0.8012820512820513,0.8033212783555955,0.7944490472245236,0.8012820512820513,0.8012820512820513,0.7968664678455917,0.8012820512820514,0.7995542142851758,0.5992651396185992,0.7944490472245236
604,0.7948972232239453,0.7712418300653595,0.8023317753595007,0.7809172105805565,0.7712418300653595,0.7712418300653595,0.7698259187620891,0.7712418300653595,0.7685280000674244,0.5756447006827123,0.7809172105805565
417,0.8673469387755102,0.8367346938775511,0.8617242815493543,0.8277591973244147,0.8367346938775511,0.8367346938775511,0.8301232665639445,0.8367346938775511,0.8321750888336844,0.6939779183594883,0.8277591973244147
62,0.8050567595459237,0.7876712328767124,0.8011055034847393,0.778657616892911,0.7876712328767124,0.7876712328767124,0.7801525234371205,0.7876712328767124,0.7829372306369694,0.5831171053301073,0.7786576168929109
15,0.8471628449280995,0.8413793103448276,0.8463366257019178,0.8400266463646745,0.8413793103448276,0.8413793103448276,0.840285426943154,0.8413793103448276,0.8405588977935724,0.6871524369550652,0.8400266463646745
396,0.8129629629629629,0.7986111111111112,0.810570987654321,0.7939130434782609,0.7986111111111112,0.7986111111111112,0.7942350332594235,0.7986111111111112,0.7954853412170484,0.6065769429855331,0.7939130434782609
205,0.8107416879795396,0.7902097902097902,0.808237798007619,0.7855464159811987,0.7902097902097902,0.7902097902097902,0.7846385542168675,0.7902097902097902,0.7858496924761984,0.5957555716852523,0.7855464159811986
360,0.8452380952380953,0.8357142857142857,0.8431972789115647,0.8320384379472501,0.8357142857142857,0.8357142857142857,0.8332556573973384,0.8357142857142857,0.8341234085680257,0.6771478948139501,0.8320384379472501
315,0.8924342105263158,0.8832116788321168,0.8912312716096812,0.8815565031982943,0.8832116788321168,0.8832116788321168,0.8821505376344086,0.8832116788321168,0.8823954163723413,0.7739142720064137,0.8815565031982943
438,0.851887243191591,0.8175182481751825,0.8495959768571637,0.8140724946695096,0.8175182481751825,0.8175182481751825,0.8117407794206564,0.8175182481751826,0.8124629630149721,0.6648852662273677,0.8140724946695096
318,0.8300290774517578,0.7794117647058824,0.8247928037194259,0.7705308775731311,0.7794117647058824,0.7794117647058824,0.7664835164835164,0.7794117647058824,0.76890756302521,0.5976054081002778,0.7705308775731311
244,0.7666666666666666,0.7647058823529411,0.7661764705882353,0.7632034632034632,0.7647058823529411,0.7647058823529411,0.7634268319199826,0.7647058823529412,0.7639384520931661,0.5298588120908821,0.7632034632034632
53,0.822914298704251,0.8088235294117647,0.8219749140847519,0.8072680077871512,0.8088235294117647,0.8088235294117647,0.806140350877193,0.8088235294117648,0.8064757481940146,0.6299880419463222,0.8072680077871512
166,0.8544141625902633,0.835820895522388,0.8570703435999597,0.8392419175027871,0.835820895522388,0.835820895522388,0.8344935998203458,0.835820895522388,0.834051167919665,0.6934901300156058,0.8392419175027871
208,0.853937728937729,0.835820895522388,0.8654666229293095,0.8481981981981982,0.835820895522388,0.835820895522388,0.8356744704570791,0.835820895522388,0.835161982728498,0.7021124681715302,0.8481981981981982
976,0.7851724137931034,0.7819548872180451,0.7846046149857401,0.7806561085972851,0.7819548872180451,0.7819548872180451,0.78071521973961,0.7819548872180451,0.7810871199831405,0.5658104980802924,0.7806561085972852
75,0.8392857142857142,0.8181818181818182,0.836940836940837,0.8143382352941176,0.8181818181818182,0.8181818181818182,0.8139097744360901,0.8181818181818182,0.8147641831852358,0.6531476791326005,0.8143382352941176
523,0.7738095238095238,0.7575757575757576,0.7720057720057719,0.7536764705882353,0.7575757575757576,0.7575757575757576,0.7518796992481203,0.7575757575757576,0.7530189109136477,0.5271016357912215,0.7536764705882353
521,0.8154236835070836,0.7923076923076923,0.8101700491435856,0.780952380952381,0.7923076923076923,0.7923076923076923,0.7829447776884546,0.7923076923076923,0.7864125238437277,0.5953789881750461,0.7809523809523808
114,0.8347302252488213,0.8372093023255814,0.8365392814940247,0.8212669683257918,0.8372093023255814,0.8372093023255814,0.8265351860152397,0.8372093023255814,0.8355414716520905,0.6558590234881221,0.8212669683257919
285,0.8424603174603175,0.8217054263565892,0.837670727205611,0.8126811594202898,0.8217054263565892,0.8217054263565892,0.8153127917833799,0.8217054263565892,0.8177100297483333,0.6544643278863489,0.8126811594202898
24,0.8747198007471979,0.875,0.8749377334993773,0.8717568569310601,0.875,0.875,0.873015873015873,0.875,0.8747519841269841,0.7464707773399074,0.87175685693106
585,0.8822584630590561,0.8828125,0.8827333518655794,0.8810344827586207,0.8828125,0.8828125,0.8815911193339501,0.8828125,0.882718547641073,0.7632919644587194,0.8810344827586206
379,0.8838107098381071,0.8828125,0.8831452366127024,0.8795566502463055,0.8828125,0.8828125,0.8811807661365183,0.8828125,0.8824861532273036,0.7633555065755632,0.8795566502463055
405,0.8233665559246954,0.8188976377952756,0.8208596018520941,0.7994871794871794,0.8188976377952756,0.8188976377952756,0.8066203243958954,0.8188976377952756,0.8154446434017001,0.6223958154562749,0.7994871794871795
126,0.8840277777777779,0.864,0.8788777777777778,0.8557642820380855,0.864,0.864,0.8596525989036392,0.864,0.8614310811703323,0.7392519642010903,0.8557642820380855
118,0.7398373983739838,0.7096774193548387,0.7428533962758983,0.7151041666666667,0.7096774193548387,0.7096774193548387,0.7034281158650013,0.7096774193548389,0.7020393817561484,0.4542687473852329,0.7151041666666667
261,0.7869318181818181,0.7580645161290323,0.7901392961876832,0.7630208333333333,0.7580645161290323,0.7580645161290323,0.753968253968254,0.7580645161290323,0.7529441884280594,0.5494326016101713,0.7630208333333333
455,0.89625,0.8780487804878049,0.8955758807588076,0.877181385510312,0.8780487804878049,0.8780487804878049,0.8764481350030133,0.8780487804878049,0.8765624668233556,0.7731962855794411,0.877181385510312
333,0.897978436657682,0.8943089430894309,0.8964674687178139,0.8916445623342175,0.8943089430894309,0.8943089430894309,0.8932932932932933,0.8943089430894309,0.8938857556743735,0.7895975953439928,0.8916445623342175
342,0.9266666666666667,0.9098360655737705,0.9230601092896176,0.9051724137931034,0.9098360655737705,0.9098360655737705,0.9080507022953066,0.9098360655737705,0.9086808305112349,0.8315613344026785,0.9051724137931034
376,0.7515090543259557,0.7583333333333333,0.7577129443326627,0.75,0.7583333333333333,0.7583333333333333,0.7506984741027295,0.7583333333333333,0.7579697686080666,0.5015067839281496,0.75
510,0.8545454545454545,0.8403361344537815,0.8504201680672269,0.8323863636363636,0.8403361344537815,0.8403361344537815,0.8356950802993969,0.8403361344537815,0.83778355466887,0.6865743204640421,0.8323863636363636
399,0.8709217611656637,0.8389830508474576,0.8691473883702078,0.8364942528735633,0.8389830508474576,0.8389830508474576,0.8346973383469733,0.8389830508474576,0.8351484659786034,0.7065777831151676,0.8364942528735633
91,0.8828571428571428,0.8632478632478633,0.8775091575091575,0.8544973544973544,0.8632478632478633,0.8632478632478633,0.8586956521739131,0.8632478632478633,0.8606465997770345,0.7368089149658081,0.8544973544973544
429,0.8425120772946859,0.8421052631578947,0.8422408678701586,0.8339089481946624,0.8421052631578947,0.8421052631578947,0.8370911400444585,0.8421052631578947,0.8411024385352074,0.6763663133936744,0.8339089481946624
384,0.8611308677098151,0.831858407079646,0.8543756844874683,0.8201450189155107,0.831858407079646,0.831858407079646,0.8239153612728616,0.831858407079646,0.8268940034504058,0.6800419059850167,0.8201450189155107
65,0.8261904761904761,0.8125,0.8232568027210885,0.8066837224176526,0.8125,0.8125,0.808078335373317,0.8125,0.8096389228886167,0.6325735038879892,0.8066837224176528
504,0.8896761133603239,0.8899082568807339,0.8899082568807339,0.8896761133603239,0.8899082568807339,0.8899082568807339,0.8896761133603239,0.8899082568807339,0.8899082568807339,0.7793522267206477,0.8896761133603239
164,0.7981818181818182,0.7314814814814815,0.8172390572390573,0.75625,0.7314814814814815,0.7314814814814815,0.7261998426435877,0.7314814814814816,0.7219745315732727,0.5528438872198584,0.7562499999999999
273,0.8324854651162791,0.822429906542056,0.8310489567485331,0.8199300699300699,0.822429906542056,0.822429906542056,0.8201680672268907,0.822429906542056,0.8207335270556819,0.6522947128572575,0.81993006993007
192,0.9128731343283583,0.897196261682243,0.9076475101129865,0.8893384940182969,0.897196261682243,0.897196261682243,0.8942022471910112,0.897196261682243,0.895699254436627,0.8018663338487706,0.889338494018297
968,0.8348214285714286,0.8301886792452831,0.8327156334231806,0.8232758620689655,0.8301886792452831,0.8301886792452831,0.8262295081967213,0.8301886792452831,0.8287039901020724,0.6579960059471217,0.8232758620689655
436,0.7554838709677419,0.7075471698113207,0.7576628119293974,0.7115384615384616,0.7075471698113207,0.7075471698113207,0.6955998147290412,0.7075471698113207,0.6944619713878718,0.46495016942638895,0.7115384615384616
138,0.8432062966031483,0.819047619047619,0.8360239870596126,0.8039251650770359,0.819047619047619,0.819047619047619,0.8090726385300029,0.819047619047619,0.8136445046005769,0.6459381715012359,0.8039251650770358
229,0.9155145929339478,0.9038461538461539,0.913180905116389,0.9007407407407407,0.9038461538461539,0.9038461538461539,0.9025487256371814,0.9038461538461539,0.9029812017068388,0.8161216227032283,0.9007407407407408
415,0.8003472222222222,0.7596153846153846,0.7983106303418803,0.7560118386977432,0.7596153846153846,0.7596153846153846,0.7493975903614458,0.7596153846153846,0.7503707136237258,0.5545897388479913,0.7560118386977432
102,0.8434108527131783,0.8252427184466019,0.8551667042974335,0.837909992372235,0.8252427184466019,0.8252427184466019,0.8250943396226416,0.8252427184466019,0.8245502839347866,0.6812986382515461,0.837909992372235
271,0.7733193277310924,0.7281553398058253,0.788373990372848,0.7480930587337911,0.7281553398058253,0.7281553398058253,0.7250190694126621,0.7281553398058251,0.721882799019499,0.52080179733895,0.7480930587337911
40,0.8020030816640986,0.7864077669902912,0.8155190210480651,0.8003831417624521,0.7864077669902912,0.7864077669902912,0.7863876319758674,0.7864077669902912,0.7861258767883554,0.6023840452475624,0.8003831417624521
600,0.8147418210484825,0.803921568627451,0.8174468841537404,0.8074701578744705,0.803921568627451,0.803921568627451,0.8032407407407407,0.8039215686274509,0.8027868554829338,0.6221694862574836,0.8074701578744706
451,0.8138718173836699,0.7722772277227723,0.8201740279383515,0.7810534591194969,0.7722772277227723,0.7722772277227723,0.767816091954023,0.7722772277227723,0.7662228291794697,0.5940193936086714,0.7810534591194969
228,0.8055178652193578,0.76,0.8135504296698326,0.7711762344439984,0.76,0.76,0.7552019583843329,0.76,0.7531456548347613,0.575670684490897,0.7711762344439985
128,0.8168604651162791,0.8080808080808081,0.820237256283768,0.8121931260229132,0.8080808080808081,0.8080808080808081,0.8077669902912622,0.8080808080808081,0.8073747180543297,0.6290362759578352,0.8121931260229134
365,0.8273305084745763,0.8181818181818182,0.8258859784283513,0.8155637254901961,0.8181818181818182,0.8181818181818182,0.8159090909090909,0.8181818181818182,0.8165289256198348,0.642786542238829,0.8155637254901962
33,0.8091856060606061,0.7755102040816326,0.807204700061843,0.7720833333333332,0.7755102040816326,0.7755102040816326,0.7676724137931035,0.7755102040816326,0.7685432793807179,0.5800836157508901,0.7720833333333333
501,0.7918103448275862,0.7857142857142857,0.7904556650246305,0.7824363788068419,0.7857142857142857,0.7857142857142857,0.7829800695982283,0.7857142857142857,0.7839743300040675,0.5741702085322062,0.782436378806842
473,0.8766825879287885,0.875,0.8884607034303084,0.8847006651884701,0.875,0.875,0.8745098039215686,0.875,0.8756535947712418,0.7613410330229662,0.8847006651884699
330,0.822595281306715,0.8020833333333334,0.8287488656987296,0.8098039215686275,0.8020833333333334,0.8020833333333334,0.8010254172575542,0.8020833333333334,0.8001186320497435,0.6322698260342806,0.8098039215686275
297,0.8711080586080586,0.8526315789473684,0.8787160208212841,0.8611853832442068,0.8526315789473684,0.8526315789473684,0.8522222222222222,0.8526315789473685,0.8516491228070175,0.7322262119683103,0.8611853832442068
377,0.7851731601731602,0.7127659574468085,0.8080385926130607,0.742521859180856,0.7127659574468085,0.7127659574468085,0.7071651090342679,0.7127659574468085,0.7019950951149997,0.5259685351565236,0.742521859180856
55,0.7791767554479418,0.7446808510638298,0.7964247076399978,0.7653014265991717,0.7446808510638298,0.7446808510638298,0.7436363636363637,0.7446808510638298,0.7415473887814313,0.544301355844966,0.7653014265991717
556,0.8309386973180077,0.7978723404255319,0.8489748919866308,0.8179935572940635,0.7978723404255319,0.7978723404255319,0.7972988310066962,0.7978723404255319,0.7959224084014903,0.6488031245498641,0.8179935572940635
